v_p95_global,v_p99_global,entropy_global,coh_global,v_p95_roi,v_p99_roi,entropy_roi,coh_roi,people_count,bbox_area_ratio,dv_p95,dentropy,dcoh,split,video_path,window_idx,t_start_sec,t_end_sec
0.6559788147360086,1.384198634773493,3.508219108581543,0.3914099887013435,0.865236125998199,1.3781631429493428,3.369437804222107,0.4522851839661598,9.8,0.42546717050781496,0.0,0.0,0.0,train,"data/dataset/train/People Walking Free Stock Footage, Royalty-Free No Copyright Content_YzcawvDGe4Y.mp4",0,0.04,1.04
0.4713003206253052,0.9435011506080627,3.549662265777588,0.43577919244766233,0.6838484191894532,1.030500864982605,3.4223220348358154,0.49240819454193113,10.44,0.3872890199299544,-0.18467849411070342,0.04144315719604519,0.04436920374631881,train,"data/dataset/train/People Walking Free Stock Footage, Royalty-Free No Copyright Content_YzcawvDGe4Y.mp4",1,0.52,1.52
0.4435380184650421,0.7716825878620148,3.5564714431762696,0.3994285213947296,0.5589595293998718,0.8398452329635621,3.4831553077697754,0.41979086518287656,11.32,0.38188641203663337,-0.027762302160263097,0.006809177398681587,-0.036350671052932715,train,"data/dataset/train/People Walking Free Stock Footage, Royalty-Free No Copyright Content_YzcawvDGe4Y.mp4",2,1.0,2.0
0.5312553572654725,0.9796457993984222,3.6008720874786375,0.35165500462055205,0.6768029463291169,1.088340539932251,3.523767499923706,0.3819000041484833,12.24,0.3966224162207589,0.08771733880043037,0.0444006443023679,-0.04777351677417757,train,"data/dataset/train/People Walking Free Stock Footage, Royalty-Free No Copyright Content_YzcawvDGe4Y.mp4",3,1.48,2.48
1.4229920327663421,2.553893529176712,3.496223392486572,0.34869753658771513,1.8853643131256104,2.8761351251602174,3.405832223892212,0.3861754608154297,12.64,0.4504070264169942,0.8917366755008697,-0.1046486949920653,-0.0029574680328369185,train,"data/dataset/train/People Walking Free Stock Footage, Royalty-Free No Copyright Content_YzcawvDGe4Y.mp4",4,1.96,2.96
1.8503848028182983,2.8185589265823365,3.38989501953125,0.4121712934970856,2.2651353645324708,3.083319401741028,3.279487771987915,0.462866348028183,11.68,0.5260544967834437,0.4273927700519562,-0.10632837295532216,0.06347375690937046,train,"data/dataset/train/People Walking Free Stock Footage, Royalty-Free No Copyright Content_YzcawvDGe4Y.mp4",5,2.44,3.44
1.3359281182289124,1.7539032697677612,3.4151895809173585,0.4491914689540863,1.4158217787742615,1.9424042749404906,3.2851813220977784,0.5132622444629669,11.08,0.5302234355404892,-0.5144566845893859,0.025294561386108416,0.037020175457000704,train,"data/dataset/train/People Walking Free Stock Footage, Royalty-Free No Copyright Content_YzcawvDGe4Y.mp4",6,2.92,3.92
1.1717486429214476,1.7354845809936523,3.2860959339141846,0.4831586456298828,1.2663174986839294,1.9970846700668334,3.1170264625549318,0.5713008368015289,12.08,0.4870643427905729,-0.1641794753074648,-0.12909364700317383,0.03396717667579652,train,"data/dataset/train/People Walking Free Stock Footage, Royalty-Free No Copyright Content_YzcawvDGe4Y.mp4",7,3.4,4.4
0.8925529432296753,1.5746285104751587,3.2090710163116456,0.555315512418747,1.0861722493171693,1.7376187896728517,3.0123212909698487,0.6582852959632873,12.8,0.4599980219802015,-0.2791956996917724,-0.07702491760253904,0.07215686678886418,train,"data/dataset/train/People Walking Free Stock Footage, Royalty-Free No Copyright Content_YzcawvDGe4Y.mp4",8,3.88,4.88
0.6128063714504242,1.3280335235595704,3.3652186584472656,0.5553931593894958,0.8643467795848846,1.4417561984062195,3.2463573837280273,0.612252060174942,12.04,0.403376463580414,-0.2797465717792511,0.15614764213562005,7.764697074885696e-05,train,"data/dataset/train/People Walking Free Stock Footage, Royalty-Free No Copyright Content_YzcawvDGe4Y.mp4",9,4.36,5.36
0.5323102021217346,1.0529932034015657,3.56506724357605,0.3615213376283646,0.7025198447704315,1.1009660983085632,3.526134853363037,0.37656354665756225,11.32,0.3783911333982417,-0.08049616932868953,0.19984858512878434,-0.19387182176113127,train,"data/dataset/train/People Walking Free Stock Footage, Royalty-Free No Copyright Content_YzcawvDGe4Y.mp4",10,4.84,5.84
0.5521486496925354,0.9258794450759887,3.5477994441986085,0.269743812084198,0.6821561110019684,0.9497159564495087,3.479331960678101,0.29592846632003783,11.04,0.3752201648402916,0.019838447570800777,-0.017267799377441495,-0.09177752554416657,train,"data/dataset/train/People Walking Free Stock Footage, Royalty-Free No Copyright Content_YzcawvDGe4Y.mp4",11,5.32,6.32
0.5806570184230805,0.8578827953338624,3.4928743743896487,0.3305320543050766,0.6888357591629028,0.8808288109302521,3.3729250717163084,0.38294696033000947,12.32,0.3766504210572659,0.028508368730545075,-0.05492506980895984,0.060788242220878586,train,"data/dataset/train/People Walking Free Stock Footage, Royalty-Free No Copyright Content_YzcawvDGe4Y.mp4",12,5.8,6.8
0.536295553445816,0.8613574945926666,3.4847256565093994,0.4063126635551453,0.6374238288402557,0.8917910528182983,3.351489992141724,0.47379592537879944,13.16,0.3955477278065793,-0.04436146497726445,-0.00814871788024929,0.07578060925006869,train,"data/dataset/train/People Walking Free Stock Footage, Royalty-Free No Copyright Content_YzcawvDGe4Y.mp4",13,6.28,7.28
0.6094746375083924,1.0790678668022156,3.2976955795288085,0.5176594400405884,0.7499112737178802,1.1316951298713684,3.093025999069214,0.6059323942661285,12.72,0.4157070482401097,0.07317908406257634,-0.18703007698059082,0.11134677648544311,train,"data/dataset/train/People Walking Free Stock Footage, Royalty-Free No Copyright Content_YzcawvDGe4Y.mp4",14,6.76,7.76
